manufacturer,code,name,start_date,end_date,manufacturer_description,tags,synonyms,coe,type,manufacturer_url,image_path,image_url,stock_type
GAF,G-070,Saffron Limited Availability Transparent,,,Gaffer Saffron Limited Availability Transparent,"""unknown""",,96,sheet,https://ebbatchcolor.com/Gaffer-Transparents/G-070-Saffron-Limited-Availability/,,,
GAF,G-071,Orange Limited Availability Transparent,,,Gaffer Orange Limited Availability Transparent,"""orange""",,96,sheet,https://ebbatchcolor.com/Gaffer-Transparents/G-071-Orange-Limited-Availability/,,,
GAF,G-072,Scarlet Limited Availability Transparent,,,Gaffer Scarlet Limited Availability Transparent,"""red""",,96,sheet,https://ebbatchcolor.com/Gaffer-Transparents/G-072-Scarlet-Limited-Availability/,,,
GAF,G-073,Citron Limited Availability Transparent,,,Gaffer Citron Limited Availability Transparent,"""green"", ""yellow""",,96,sheet,https://ebbatchcolor.com/Gaffer-Transparents/G-073-Citron-Limited-Availability/,,,
GAF,G-074,Cherry Red Limited Availability Transparent,,,Gaffer Cherry Red Limited Availability Transparent,"""red""",,96,sheet,https://ebbatchcolor.com/Gaffer-Transparents/G-074-Cherry-Red-Limited-Availability/,,,
GAF,G-075,Copper Ruby Limited Availability Transparent,,,Gaffer Copper Ruby Limited Availability Transparent,"""brown"", ""orange"", ""red""",,96,sheet,https://ebbatchcolor.com/Gaffer-Transparents/G-075-Copper-Ruby-Limited-Availability/,,,
GAF,G-076,Yellow Limited Availability Transparent,,,Gaffer Yellow Limited Availability Transparent,"""yellow""",,96,sheet,https://ebbatchcolor.com/Gaffer-Transparents/G-076-Yellow-Limited-Availability/,,,
GAF,G-077,Daffodil Limited Availability Transparent,,,Gaffer Daffodil Limited Availability Transparent,"""yellow""",,96,sheet,https://ebbatchcolor.com/Gaffer-Transparents/G-077-Daffodil-Limited-Availability/,,,
GAF,G-080,Photosensitive Ruby Limited Availability Transparent,,,Gaffer Photosensitive Ruby Limited Availability Transparent,"""red""",,96,sheet,https://ebbatchcolor.com/Gaffer-Transparents/G-080-Photosensitive-Ruby-Limited-Availability/,,,
GAF,G-090,Lime Aventurine Limited Availability Transparent,,,Gaffer Lime Aventurine Limited Availability Transparent,"""green"", ""yellow""",,96,sheet,https://ebbatchcolor.com/Gaffer-Transparents/G-090-Lime-Aventurine-Limited-Availability/,,,
GAF,G-210,Clear Casting Brick,,,Gaffer Clear Casting Brick,"""clear""",,96,billet,https://ebbatchcolor.com/Gaffer-Casting-Colors/G-210-Clear/,,,
GAF,G-214,Pale Bronze Casting Brick,,,Gaffer Pale Bronze Casting Brick,"""brown"", ""orange""",,96,billet,https://ebbatchcolor.com/Gaffer-Casting-Colors/G-214-Pale-Bronze/,,,
GAF,G-215,Grey Casting Brick,,,Gaffer Grey Casting Brick,"""gray"", ""grey""",,96,billet,https://ebbatchcolor.com/Gaffer-Casting-Colors/G-215-Grey/,,,
GAF,G-217,Pale Grey Casting Brick,,,Gaffer Pale Grey Casting Brick,"""gray"", ""grey""",,96,billet,https://ebbatchcolor.com/Gaffer-Casting-Colors/G-217-Pale-Grey/,,,
GAF,G-218,Bronze Casting Brick,,,Gaffer Bronze Casting Brick,"""brown"", ""orange""",,96,billet,https://ebbatchcolor.com/Gaffer-Casting-Colors/G-218-Bronze/,,,
GAF,G-219,Kelp Casting Brick,,,Gaffer Kelp Casting Brick,"""brown"", ""green""",,96,billet,https://ebbatchcolor.com/Gaffer-Casting-Colors/G-219-Kelp/,,,
GAF,G-220,Apricot Casting Brick,,,Gaffer Apricot Casting Brick,"""orange"", ""yellow""",,96,billet,https://ebbatchcolor.com/Gaffer-Casting-Colors/G-220-Apricot/,,,
GAF,G-221,Gold Ruby Casting Brick,,,Gaffer Gold Ruby Casting Brick,"""red"", ""yellow""",,96,billet,https://ebbatchcolor.com/Gaffer-Casting-Colors/G-221-Gold-Ruby/,,,
GAF,G-230,Orange Red Casting Brick,,,Gaffer Orange Red Casting Brick,"""orange"", ""red""",,96,billet,https://ebbatchcolor.com/Gaffer-Casting-Colors/G-230-Orange-Red/,,,
GAF,G-235,Dark Orange Red Casting Brick,,,Gaffer Dark Orange Red Casting Brick,"""orange"", ""red""",,96,billet,https://ebbatchcolor.com/Gaffer-Casting-Colors/G-235-Dark-Orange-Red/,,,
GAF,G-240,Light Yellow Casting Brick,,,Gaffer Light Yellow Casting Brick,"""yellow""",,96,billet,https://ebbatchcolor.com/Gaffer-Casting-Colors/G-240-Light-Yellow/,,,
GAF,G-241,Chardonnay Casting Brick,,,Gaffer Chardonnay Casting Brick,"""unknown""",,96,billet,https://ebbatchcolor.com/Gaffer-Casting-Colors/G-241-Chardonnay/,,,
GAF,G-242,Yellow Casting Brick,,,Gaffer Yellow Casting Brick,"""yellow""",,96,billet,https://ebbatchcolor.com/Gaffer-Casting-Colors/G-242-Yellow/,,,
GAF,G-245,Yellow Amber Casting Brick,,,Gaffer Yellow Amber Casting Brick,"""orange"", ""yellow""",,96,billet,https://ebbatchcolor.com/Gaffer-Casting-Colors/G-245-Yellow-Amber/,,,
GAF,G-250,Cobalt Blue Casting Brick,,,Gaffer Cobalt Blue Casting Brick,"""blue""",,96,billet,https://ebbatchcolor.com/Gaffer-Casting-Colors/G-250-Cobalt-Blue/,,,
GAF,G-251,Copper Blue Casting Brick,,,Gaffer Copper Blue Casting Brick,"""blue"", ""brown"", ""orange"", ""red""",,96,billet,https://ebbatchcolor.com/Gaffer-Casting-Colors/G-251-Copper-Blue/,,,
GAF,G-252,Aquamarine Casting Brick,,,Gaffer Aquamarine Casting Brick,"""unknown""",,96,billet,https://ebbatchcolor.com/Gaffer-Casting-Colors/G-252-Aquamarine/,,,
GAF,G-253,Steel Blue Casting Brick,,,Gaffer Steel Blue Casting Brick,"""blue""",,96,billet,https://ebbatchcolor.com/Gaffer-Casting-Colors/G-253-Steel-Blue/,,,
GAF,G-254,Lagoon Casting Brick,,,Gaffer Lagoon Casting Brick,"""blue"", ""green""",,96,billet,https://ebbatchcolor.com/Gaffer-Casting-Colors/G-254-Lagoon/,,,
GAF,G-255,Pale Copper Blue Casting Brick,,,Gaffer Pale Copper Blue Casting Brick,"""blue"", ""brown"", ""orange"", ""red""",,96,billet,https://ebbatchcolor.com/Gaffer-Casting-Colors/G-255-Pale-Copper-Blue/,,,
GAF,G-256,Pale Aquamarine Casting Brick,,,Gaffer Pale Aquamarine Casting Brick,"""unknown""",,96,billet,https://ebbatchcolor.com/Gaffer-Casting-Colors/G-256-Pale-Aquamarine/,,,
